01.02.25,Adventurer's Zeta-Jones,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN39501%2F03&R=122,13.08.03,2003,Schwarz,Heavy Loader's and The Band Played,Santtomin My Choice,1,15.03.15,11J 7M,Epilepsie
01.02.25,Lintukarin Armastaipale,http://www.k9data.com/fivegen.asp?ID=887610,22.10.12,2012,Schwarz,Lintukarin Ketku,Niinivuoren Pakkas Vahinko,2,25.09.23,10J 11M,Epilepsie
01.10.23,Lintukarin Lasseviren,http://www.k9data.com/fivegen.asp?ID=695243,22.10.12,2012,Schwarz,Lintukarin Ketku,Niinivuoren Pakkas Vahinko,2,21.03.23,10 J 5M,"Tumor, Krebs"
01.10.23,Mandylike's Porsche,http://www.k9data.com/fivegen.asp?ID=879936,29.04.07,2007,Schwarz,Gameflight Goss,Mandylike's Blissful Bean,1,,,
01.10.23,Mandylike's Twinkle,http://www.k9data.com/fivegen.asp?ID=879933,27.03.09,2009,Gelb,Ffynongain Gunner at Tudorcourt,Mandylike's Nimblewitted Nip,1,,,
01.10.23,Meadowlark Black Kite,http://www.k9data.com/fivegen.asp?ID=601384,18.03.10,2010,Schwarz,Bierspool Blackbill of Lakedown,Birdsgreen Allure of Rushbrigg,1,,,
01.10.23,Meadowlark Marigold,http://www.k9data.com/fivegen.asp?ID=879937,29.08.14,2014,Schwarz,Oakleaf Warlord,Copperbirch Corona,2,,,
01.10.23,Meadowlark Mr Badger,http://www.k9data.com/fivegen.asp?ID=825271,29.08.14,2014,Gelb,Oakleaf Warlord,Copperbirch Corona,2,,,
01.02.25,Merjatuulian Syyssalama,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN48011%2F08&R=122,16.08.08,2008,Schwarz,Sirmakan Fanfaari,Niinivuoren Aamu-Tuima,1,10.06.20,11J 10M,Während eines Anfalls
01.10.23,Merjatuulian Wekkuli,http://www.k9data.com/fivegen.asp?ID=565467,18.11.95,1995,Schwarz,Linttakintun Remu,Linttakintun Alfiina,1,15.08.00,4J 8M,Epilepsie
01.10.23,Meta vom Barkendiek,http://www.k9data.com/fivegen.asp?ID=1258845,19.06.19,2019,Schwarz,Dark Pipe Major vom Südlichen Orakel,Krabbe vom Barkendiek,1,,,
01.10.23,Middle River's Forest Harmony,http://www.k9data.com/fivegen.asp?ID=1306524,02.11.20,2020,Schwarz,Metsäsuharin Muuttolintu,Middle River's Gun Hocus Pocus,1,14.05.23,2J 6M,Epilepsie
01.10.23,Moorman's Lennie Mirak,http://www.k9data.com/fivegen.asp?ID=1154355,12.11.12,2012,Schwarz,Conneywarren Lennie,Moorman's T Hazel,1,,,
01.02.25,Muistokas Rollo,http://www.k9data.com/fivegen.asp?ID=1342988,25.03.98,1998,Schwarz,Ethusan Örkkimörkki,Krouvarin Carmen,1,01.01.08,9J 10M,Epilepsie
01.10.23,Muschelsucher Clooney,http://www.k9data.com/fivegen.asp?ID=847248,19.11.15,2015,Schwarz,Jobeshill Valfrid of Avonford,Ragweed's Blackbird,1,,,
01.02.25,Namusillan Tammikehrääjä,http://www.k9data.com/fivegen.asp?ID=1342990,24.01.08,2008,Schwarz,Cynhinfa Fergus,Fenflyer Lady of Namusillan,1,19.02.17,9J 1M,Epilepsie
01.10.23,Nanni-Nadalina von der Bleiburg,http://www.k9data.com/fivegen.asp?ID=1092406,12.03.14,2014,Gelb,Remus vom Angelfeld,Konny von der Bleiburg,1,,,
01.10.23,Never change Gasper,http://www.k9data.com/fivegen.asp?ID=628210,26.10.13,2013,Schwarz,Blackthorn Ireneus,Never change Dacota,1,,,
01.10.23,Niinivuoren Aamu-Uninen,http://www.k9data.com/fivegen.asp?ID=565490,22.01.04,2004,Gelb,Namusillan Lobo,Muistokas Muska,1,,,
01.10.23,Niinivuoren Kulta-Kutri,http://www.k9data.com/fivegen.asp?ID=888116,22.11.12,2012,Gelb,Paukku-Noudon Fauni,Niinivuoren Pelto-Orvokki,1,24.03.15,2J 4M,Epilepsie
01.10.23,Niinivuoren Meren-Salaisuus,http://www.k9data.com/fivegen.asp?ID=888122,05.12.11,2011,Gelb,Garronpoint Mole,Mandylike's Nacre,5,,,
01.10.23,Niinivuoren Pakkas Otto,http://www.k9data.com/fivegen.asp?ID=695218,19.02.10,2010,Schwarz,Blackthorn Capella,Mandylike's Nacre,5,26.11.14,4J 9M,Epilepsie
01.10.23,Niinivuoren Pakkas Vahinko,http://www.k9data.com/fivegen.asp?ID=695212,19.02.10,2010,Schwarz,Blackthorn Capella,Mandylike's Nacre,5,13.05.19,9J 2M,"Tumor, Krebs"
01.10.23,Niinivuoren Pakkasennätys,http://www.k9data.com/fivegen.asp?ID=695219,19.02.10,2010,Schwarz,Blackthorn Capella,Mandylike's Nacre,5,30.05.22,12J 3M,"Tumor, Krebs"
01.10.23,Niinivuoren Pakkasukko,http://www.k9data.com/fivegen.asp?ID=695222,19.02.10,2010,Schwarz,Blackthorn Capella,Mandylike's Nacre,5,,,
01.10.23,Omenalaakson Charles for my Love,http://www.k9data.com/fivegen.asp?ID=1075285,02.05.11,2011,Schwarz,Adventurer's Second To None,My Brand Love For Sale,1,17.06.16,5J 1M,Epilepsie
01.10.23,Perdix Gundogs Englishman in New York,http://www.k9data.com/fivegen.asp?ID=1151916,18.03.18,2018,Schwarz,Perdix Gundogs Titus,Perdix Gundogs Bess,1,,,
01.10.24,Pibiz Game Keeper,http://www.k9data.com/fivegen.asp?ID=1356478,10.03.19,2019,Gelb,Aspijana Qute,Pibiz Faline,1,,,
01.10.23,Pumpans Autumn Gold,http://www.k9data.com/fivegen.asp?ID=879938,02.05.07,2007,Gelb,Hillus Drake,Justlike Princess Lady Di,3,,,
01.10.23,Pumpans Harvest Moon,http://www.k9data.com/fivegen.asp?ID=879940,02.05.07,2007,Gelb,Hillus Drake,Justlike Princess Lady Di,3,,,
01.10.23,Pumpans Sugar Treat,http://www.k9data.com/fivegen.asp?ID=886389,02.05.07,2007,Gelb,Hillus Drake,Justlike Princess Lady Di,3,,,
01.02.25,Qnb Rough Dude,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN16312%2F99&R=122,26.10.98,1998,Schwarz,Southland Repeat Performance,Southland Run Thumper Run,1,22.08.00,1J 10M,Epilepsie
01.10.23,Quickrunners Alan,http://www.k9data.com/fivegen.asp?ID=565314,09.06.12,2012,Schwarz,Carolhill Quistador,Danielle von der Steinmauer,2,07.02.15,2J 7M,
01.10.23,Raven vom Tor zur Egge,http://www.k9data.com/fivegen.asp?ID=631628,13.09.13,2013,Schwarz,Blackthorn Ireneus,Zippy Zamie of Mountain Forest Glade,1,,,
01.10.23,Ravenfly Arielle,http://www.k9data.com/fivegen.asp?ID=467986,29.01.05,2005,Schwarz,Loughbrook Goldcharm of Lafayette,Corvin von Riedenberg,1,20.09.11,6J 7M,
01.10.23,Reedsweeper's Desna,http://www.k9data.com/fivegen.asp?ID=879941,09.03.09,2009,Gelb,Proletariat Aureole,Carmal's Heroine Kea,1,,,
01.10.23,Riverflow Star Pleaser,http://www.k9data.com/fivegen.asp?ID=1085436,02.04.13,2013,Gelb,Riverflow Naturel Star,Angel Dream of Kingsdeep,1,,,
01.02.25,Rosanan White Gold,http://www.k9data.com/fivegen.asp?ID=1342993,04.12.96,1996,Gelb,Guideline's Copyright,Rosanan Golden Rosebud,1,24.02.03,6J 2M,Epilepsie
01.10.23,Saku (FIN46719/07),http://www.k9data.com/fivegen.asp?ID=566856,29.07.07,2007,Schwarz,Weljesten Canton,Ruususen Boffin,1,14.06.11,3J 10M,Epilepsie
01.10.23,Saskian Xino,http://www.k9data.com/fivegen.asp?ID=905219,02.08.13,2013,Schwarz,A Sense of Pleasure's I'm A Joker,Saskian Lady Marmalade,1,06.02.17,3J 6M,Epilepsie
01.10.23,Sea-Croft Kay's Iowa,http://www.k9data.com/fivegen.asp?ID=1159206,09.01.13,2013,Gelb,Justlike Chinook,Searover Day Mackay,1,,,
01.10.23,Sea-Croft Nimble,http://www.k9data.com/fivegen.asp?ID=1020261,10.12.12,2012,Schwarz,Moorman's Nightmare,Sea-Croft May It Be,1,,,
01.10.23,Searover Cosys Karo,http://www.k9data.com/fivegen.asp?ID=899986,11.02.04,2004,Schwarz,Duvkullans Cello,Searover Cosy,1,,,
01.10.23,Searover Day Mackay,http://www.k9data.com/fivegen.asp?ID=832588,18.12.09,2009,Gelb,Emmawood Drake,Searover Kits Day,1,,,
01.10.23,Searover Easy Sjakk,http://www.k9data.com/fivegen.asp?ID=879943,18.03.07,2007,Gelb,Hillus Drake,Run For Searover,1,,,
01.10.23,Searover Kellys Guns N'Roses,http://www.k9data.com/fivegen.asp?ID=879947,16.02.09,2009,Schwarz,Searover Kits Deal,Searover Cosys Kelly,1,,,
01.10.23,Searover Ruffling Thea,http://www.k9data.com/fivegen.asp?ID=898598,22.04.05,2005,Schwarz,Willowyck Ruff,Searover Greta Garbo,1,,,
01.10.23,Searover Sweet Flip Flop,http://www.k9data.com/fivegen.asp?ID=1206106,13.03.17,2017,Schwarz,Cynhinfa Nabil,Searover Kellys Sweet,1,,,
01.10.23,Sirmakan Jitterbug,http://www.k9data.com/fivegen.asp?ID=567044,28.02.95,1995,Schwarz,Lafayette Kes,Sirmakan Desico,1,22.08.01,6J 6M,Epilepsie
01.10.23,Sky Yard's Istvan Imre,http://www.k9data.com/fivegen.asp?ID=496961,19.07.96,1996,Gelb,Bernie z Dalejskelo Haje,Sky Yard's Funny Face,1,,,
01.10.23,Snowy Roxy vom Windbrunnen,http://www.k9data.com/fivegen.asp?ID=515932,11.12.08,2008,Gelb,Egid-Quirin vom Hirschthürl,Nautica vom Windbrunnen,1,,,
01.10.23,Splash of Water's Capercaillie,http://www.k9data.com/fivegen.asp?ID=1151924,28.06.14,2014,Schwarz,Justlike Sioux,Viltvårdarns Ripa,2,,,
01.10.23,Splash of Water's Grouse,http://www.k9data.com/fivegen.asp?ID=1154356,28.06.14,2014,Schwarz,Justlike Sioux,Viltvårdarns Ripa,2,,,
01.10.23,Streamlight's Ace Leon,http://www.k9data.com/fivegen.asp?ID=901044,03.11.10,2010,Gelb,Delfleet Hawk,Streamlight's Pearl Ace,1,,,
01.10.23,Streamlight's Grappas Dexter,http://www.k9data.com/fivegen.asp?ID=880918,02.07.13,2013,Gelb,Lekking After Dopey,Streamlight's Dana's Grappa,1,,,
01.10.23,Streamlight's Pearl Sandy,http://www.k9data.com/fivegen.asp?ID=880915,27.07.07,2007,Gelb,Hillus Drake,Streamlight's Brave Pearl,1,,,
01.10.23,Sven (SE21895/2015),http://www.k9data.com/fivegen.asp?ID=879948,10.03.15,2015,Schwarz,Levenghyl Monza,Saga (SE23462/2011),1,,,
01.08.24,Tealshead Bracken,http://www.k9data.com/fivegen.asp?ID=1326384,18.06.19,2019,Schwarz,Lycik Bishop,Raevsager Tess Lina,1,,,
01.10.23,Thorsvi Harris,http://www.k9data.com/fivegen.asp?ID=995024,21.02.16,2016,Schwarz,Stenbury Askrike Black Nash,Thorsvi Kintyre,1,,,
01.10.23,Thorsvi Rock Creek,http://www.k9data.com/fivegen.asp?ID=1043794,14.05.17,2017,Schwarz,Söders Broadwalk,Stenbury Black Stingray,1,2019,Ca. 2J,
01.02.25,Tupla-Pummin Valtter,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=SF02615N%2F86&R=122,01.01.86,1986,Schwarz,Priorise Sebastian,Ethusan White Whisky,1,02.09.96,10J 8M,Epilepsie
01.02.25,Urho (FIN33550/08),https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN33550%2F08&R=122,21.04.08,2008,Braun,Halolan Wauhtiveikko,Havulinnun Inka,1,12.12.15,7J 8M,Epilepsie
01.10.23,Usvalinnun Asterix,http://www.k9data.com/fivegen.asp?ID=570641,07.07.89,1989,Gelb,Lennek Birdie Nam Nam,Nelli (SF08284/88),1,01.01.96,Ca. 6J,Epilepsie
01.10.23,Usvalinnun Cessi,http://www.k9data.com/fivegen.asp?ID=919347,22.09.94,1994,Schwarz,Reppumiehen Aapo,Applehill's Aretta,1,01.01.03,Ca. 8J,Epilepsie
01.10.23,Vattumannen Humle,http://www.k9data.com/fivegen.asp?ID=1206108,17.04.16,2016,Gelb,Carmal's Keen Art,Duvkullans Felicitas,1,,,
01.02.25,Vauhti-Noudon Vauhtineito,http://www.k9data.com/fivegen.asp?ID=1342997,03.11.18,2018,Gelb,Vauhti-Noudon Aivan Eka,Vauhti-Noudon Amazoniitti,1,16.01.23,4J 3M,Epilepsie
01.10.23,Viltvårdarns Galax,http://www.k9data.com/fivegen.asp?ID=1151927,17.04.05,2005,Schwarz,Streamlight's Tony Baretta,Viltvårdarns Aqua,1,,,
01.10.23,Viltvårdarns Unika Enya,http://www.k9data.com/fivegen.asp?ID=562578,17.03.11,2011,Schwarz,Viltvårdarns Nickel,Viltvårdarns Carat,1,,,
01.10.23,Waterfowler Ace,http://www.k9data.com/fivegen.asp?ID=441195,07.07.07,2007,Schwarz,Chilihunters Game Glen,Lassagardens Nightingale,1,15.02.20,12J 7M,Magendrehung
01.10.23,Wijmas Lilla My,http://www.k9data.com/fivegen.asp?ID=815861,05.07.13,2013,Schwarz,Blackthorn Bion,Lisdrum Orchid of Copperbirch,2,2016,Ca. 3J,
01.10.23,Wijmas Mymlan,http://www.k9data.com/fivegen.asp?ID=879976,05.07.13,2013,Schwarz,Blackthorn Bion,Lisdrum Orchid of Copperbirch,2,,,
01.10.23,Willowridge Five Star,http://www.k9data.com/fivegen.asp?ID=990774,25.03.16,2016,Schwarz,Stenbury Askrike Black Nash,Willowridge Two For Tea,1,,,
01.10.23,Willowridge Gösta-Berling,http://www.k9data.com/fivegen.asp?ID=893959,16.02.03,2003,Schwarz,Nidaros Dancing Dan,Nidaros Timjan,1,,,
01.10.23,Wim (NHSB 3217583),http://www.k9data.com/fivegen.asp?ID=1262026,06.12.20,2020,Braun,Magic Mera Vallis,Lana of the Chocolate Bourg,1,,,
01.10.23,Winning Line's License to Kill,http://www.k9data.com/fivegen.asp?ID=884717,05.02.13,2013,Schwarz,Justlike Chinook,Karriärs Heaven and Earth,1,,,
01.08.24,Yes we can Flic in France,http://www.k9data.com/fivegen.asp?ID=1351943,08.05.22,2022,Gelb,Beechcroft Secret Scout,Yes we can Coopers Crossing Kate,1,,,
01.10.23,Zetastar Zesty Boy,http://www.k9data.com/fivegen.asp?ID=884113,01.05.16,2016,Schwarz,Mandylike's Ripper,Zetastar Mighty Cherokee,1,,,
